Parcela,VOLUME,B,G,R,NIR,NDVI,OSAVI,GNDVI,MTVI2,Idade_IF (anos)
162,37.735825,64,28,23,97,0.617,0.714380825565912,0.552,0.738520777431066,8.189844
163,67.1284,62.5,29,24.5,103.5,0.617,0.715043695380774,0.562,0.730899590315126,8.189898
164,48.504152,62,29,24,107,0.634,0.734065263799939,0.574,0.74523100370496,8.19024
165,62.978549,65,30,25,104,0.612,0.709507587488386,0.552,0.732074528406931,8.190293
166,37.189959,65,32,27,97,0.565,0.653994845360825,0.504,0.701304775514245,8.190326
167,48.211428,61,31,24,94,0.593,0.687203791469194,0.504,0.744538022737441,9.107813
168,47.520034,66,30,22,101,0.642,0.744072750893147,0.542,0.782898070865077,9.107791
169,51.299529,61,29,22,105.5,0.655,0.758734137552875,0.569,0.778651630323451,9.107748
170,46.311193,61,28.5,22.5,95.5,0.619,0.71665538253216,0.540,0.750933174795491,9.107727
171,44.914643,59,29,26,106,0.606,0.702179176755448,0.570,0.70830683896252,9.108379
172,63.666247,62,29,24,102,0.619,0.71718452758402,0.557,0.737617497919218,9.108336
173,50.924015,61,30,23,106,0.643,0.745432022297925,0.559,0.770713286211589,9.108305
174,56.530834,61,29,22,106,0.656,0.760299625468165,0.570,0.77922620888627,9.108112
175,52.249368,63,30,27,97,0.565,0.653994845360825,0.528,0.681156793013283,9.108069
176,42.29245,64,31,25,103,0.609,0.705992509363296,0.537,0.73992481326,8.190144
177,53.310979,62,32,25,101,0.603,0.698795180722892,0.519,0.746418066401444,8.190175
178,74.617597,62,30,23,109,0.652,0.754842615012107,0.568,0.774284498775174,8.190197
179,52.662889,62,30,23,104,0.638,0.738911607423718,0.552,0.768217614773284,9.107866
180,59.90428,61,30,25,99,0.597,0.691365979381443,0.535,0.723563313341668,9.107898
181,83.340571,61,29,22.5,103.5,0.643,0.744768547875713,0.562,0.767217836885485,9.10792
182,69.907916,61,30,23,104,0.638,0.738911607423718,0.552,0.768217614773284,9.108006
183,74.254957,62,29.5,24,102,0.619,0.71718452758402,0.551,0.74240722193168,9.108176
184,76.471758,61.5,29,21.5,106,0.663,0.767820773930754,0.570,0.788091469199338,9.108209
185,68.427025,60,31,24,103,0.622,0.720666876376219,0.537,0.758172066911891,9.108422
186,45.760074,62,30.5,22.5,104,0.644,0.74640770566872,0.546,0.781951070071615,9.108476
187,75.732372,60,30,22,107,0.659,0.763394239702694,0.562,0.789490315531374,9.105126
188,78.486165,63,30,22,112,0.672,0.778175313059034,0.577,0.794442415470912,9.105169
189,45.007059,61,30,25,99,0.597,0.691365979381443,0.535,0.723563313341668,9.108519
190,47.803052,62,30,25,95,0.583,0.675765645805592,0.520,0.716107120844085,9.108315
191,58.430131,59,29,23,103,0.635,0.735573874445149,0.561,0.757446976153745,9.108059
192,55.176607,61.5,31,28,104,0.576,0.667070217917676,0.541,0.687256762101817,9.108037
193,37.659137,64,32,27,97,0.565,0.653994845360825,0.504,0.701304775514245,9.108422
194,56.204517,63,31,24,106,0.631,0.73079287031346,0.547,0.76220056036648,9.108391
195,113.438967,64,30,24,121,0.669,0.775144667952604,0.603,0.771264973069878,9.108379
196,79.064786,63,29,24,104,0.625,0.724094881398252,0.564,0.740751027140573,9.108336
197,82.293908,61,31,22,100,0.639,0.740667976424361,0.527,0.791493680901478,9.105083
198,87.346578,61.5,29,23,106,0.643,0.745432022297925,0.570,0.761495924002987,9.105051
